"Nombre","Referencia interna","Código de barras","Categoría de producto","Coste","Precio de venta","Unidad SAT"
"EMPAQUE O-RING 11/16 BOLSA 100 PZS ANBEC","EMPO1116","7506069011139","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 11/16 INT 13/16 EXT BOLSA 100 PZS ANBEC","EMPO1319","7506069052484","ANBEC","0.0","135.0","Pieza"
"EMPAQUE O-RING 11/16 INT 7/8 EXT BOLSA 100 PZS ANBEC","EMPO1320","7506069052491","ANBEC","0.0","86.0","Pieza"
"EMPAQUE O-RING 3/16 INT 5/16 EXT BOLSA 100 PZS ANBEC","EMPO1324","7506069052538","ANBEC","0.0","74.0","Pieza"
"EMPAQUE O-RING 3/4 INT 1 EXT BOLSA 100 PZS ANBEC","EMPO1325","7506069052545","ANBEC","0.0","135.0","Pieza"
"EMPAQUE O-RING 3/4 INT 15/16 EXT BOLSA 100 PZS ANBEC","EMPO1331","7506069052606","ANBEC","0.0","86.0","Pieza"
"EMPAQUE O-RING 3/8 #110 1 PZA","E110","","ABRAMEX","0.0","2.0","Pieza"
"EMPAQUE O-RING 3/8 #110 C/100","E110","","ABRAMEX","40.71","60.0","Pieza"
"EMPAQUE O-RING 3/8 BOLSA 100 PZS ANBEC","EMPO38","7506069011153","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 3/8 INT 1/2 EXT BOLSA 100 PZS ANBEC","EMPO1334","7506069052637","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 3/8 INT 9/16 EXT BOLSA 100 PZS ANBEC","EMPO1328","7506069052576","ANBEC","0.0","74.0","Pieza"
"EMPAQUE O-RING 5/16 INT 7/16 EXT BOLSA 100 PZS ANBEC","EMPO1323","7506069052521","ANBEC","0.0","74.0","Pieza"
"EMPAQUE O-RING 5/32 INT 9/32 EXT BOLSA 100 PZS ANBEC","EMPO1330","7506069052590","ANBEC","0.0","74.0","Pieza"
"EMPAQUE O-RING 5/8 #112 1 PZA EM112 KAVE PLASTICOS","EM112","","ABRAMEX","1.4000000000000001","2.0","Pieza"
"EMPAQUE O-RING 5/8 #112 C/100 EM112 KAVE PLASTICOS","EM112","","ABRAMEX","41.300000000000004","60.0","Pieza"
"EMPAQUE O-RING 5/8 BOLSA 100 PZS ANBEC","EMPO58","7506069011177","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 5/8 INT 13/16 EXT BOLSA 100 PZS ANBEC","EMPO1326","7506069052552","ANBEC","0.0","86.0","Pieza"
"EMPAQUE O-RING 5/8 INT 3/4 EXT BOLSA 100 PZS ANBEC","EMPO1321","7506069052507","ANBEC","0.0","86.0","Pieza"
"EMPAQUE O-RING 7/16 BOLSA 100 PZS ANBEC","EMPO716","7506069053412","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 7/16 INT 5/8 EXT BOLSA 100 PZS ANBEC","EMPO1322","7506069052514","ANBEC","0.0","74.0","Pieza"
"EMPAQUE O-RING 7/32 INT 11/32 EXT BOLSA 100 PZS ANBEC","EMPO1335","7506069052644","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 9/16 BOLSA 100 PZS ANBEC","EMPO916","7506069011160","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 9/16 INT 3/4 EXT BOLSA 100 PZS ANBEC","EMPO1327","7506069052569","ANBEC","0.0","74.0","Pieza"
"EMPAQUE P/ACOPLAR #131 SENCILLO (PZ) ESLORA","EAWC","","ABRAMEX","7.95","12.0","Pieza"
"EMPAQUE P/ACOPLAR #132/409 C/CEJA ESPONJOSO 1956 ESLORA","8176","","ABRAMEX","5.16","7.0","Pieza"
"EMPAQUE P/ACOPLAR ESPONJOSO UNION TANQUE TAZA PB7100 COFLEX","PB7100","710631915818","ABRAMEX","8.86","15.0","Pieza"
"EMPAQUE P/MANGUERA E-113 C/100 ESLORA","E-113","","ABRAMEX","27.96","39.0","Pieza"
"EMPAQUE P/MANGUERA E-113 C/100 ESLORA PIEZA","E-113","","ABRAMEX","0.0","2.0","Pieza"
"EMPAQUE P/REBOZADERO #130","8174","","ABRAMEX","4.58","7.0","Pieza"
"EMPAQUE P/VALVULA TANQUE BAJO #140","8177","","ABRAMEX","3.33","5.0","Pieza"
"EMPAQUE PARA CONEXION HEMBRA DE 1/2 BOLSA 100 PZS ANBEC","ENP716","7506069037559","ANBEC","0.0","220.0","Pieza"
"EMPAQUE PLANO 1/2 #101 1 PZA. E101 KAVE PLASTICOS","E-101","","ABRAMEX","0.0","2.0","Pieza"
"EMPAQUE PLANO 1/2 #101 C/100 E101 KAVE PLASTICOS","E101","","ABRAMEX","42.26","60.0","Pieza"
"EMPAQUE PLANO 3/4 #120 C/1 EM120 KAVE PLASTICOS","EM34","","ABRAMEX","0.43","2.0","Pieza"
