Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 6x1/2,09-016-6X1/2,,EL TORNILLO,0.19,0.5,Pieza,0.31,62.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 6x3/4,09-016-6X3/4,,EL TORNILLO,0.21,0.5,Pieza,0.29,58.00000000000001
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 8x1,09-016-8X1,,EL TORNILLO,0.25,1.0,Pieza,0.75,75.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 8x1-1/2,09-016-8X1-1/2,,EL TORNILLO,0.44,1.0,Pieza,0.56,56.00000000000001
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 8x1-1/4,09-016-8X1-1/4,,EL TORNILLO,0.32,1.0,Pieza,0.6799999999999999,68.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 8x1/2,09-016-8X1/2,,EL TORNILLO,0.21,0.5,Pieza,0.29,58.00000000000001
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 8x2,09-016-8X2,,EL TORNILLO,0.48,1.0,Pieza,0.52,52.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 8x3/4,09-016-8X3/4,,EL TORNILLO,0.21,0.5,Pieza,0.29,58.00000000000001
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 8x5/8,09-016-8X5/8,,EL TORNILLO,0.2,0.5,Pieza,0.3,60.0
PIJA CABEZA HEXAGONAL PUNTA DE BROCA GALVANIZADA 1/4x3/4,09-017-1/4X3/4,,EL TORNILLO,0.37,1.0,Pieza,0.63,63.0
PIJA CABEZA HEXAGONAL PUNTA DE BROCA GALVANIZADA 10x1,,,EL TORNILLO,0.28,0.36,Pieza,0.0799999999999999,22.22222222222221
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 10X11/2,09-023-10X1-1/2,,EL TORNILLO,0.31,1.0,Pieza,0.69,69.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 4X1/2,09-023-4x1/2,,EL TORNILLO,0.07,1.0,Pieza,0.93,93.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 6x1,,,EL TORNILLO,0.12,1.0,Pieza,0.88,88.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 6x3/4,,,EL TORNILLO,0.1,0.5,Pieza,0.4,80.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 6x5/8,,,EL TORNILLO,0.0,0.5,Pieza,0.5,100.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 8X1,09-023-8X1,,EL TORNILLO,0.17,0.5,Pieza,0.3299999999999999,65.99999999999999
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 8X1/2,09-023-8X1/2,,EL TORNILLO,0.11,0.5,Pieza,0.39,78.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 8X2,09-023-8X2,,EL TORNILLO,0.26,1.0,Pieza,0.74,74.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 8X3/4,09-023-8X3/4,,EL TORNILLO,0.15,0.5,Pieza,0.35,70.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 8X5/8,09-023-8x5/8,,EL TORNILLO,0.16,0.5,Pieza,0.3399999999999999,68.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 8x1-1/2,09-023-8x1-1/2,,EL TORNILLO,0.24,1.0,Pieza,0.76,76.0
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 8x1-1/4,09-023-8x1-1/4,,EL TORNILLO,0.22,0.5,Pieza,0.28,56.00000000000001
PIJA CABEZA PLANA PHILLIPS PUNTA AB GALVANIZADA 8x2-1/2,09-023-8X2-1/2,,EL TORNILLO,0.32,1.0,Pieza,0.6799999999999999,68.0
PIJA K-LATH PHILLIPS PUNTA DE BROCA 8X11/4,PKLPBG008032,,EL TORNILLO,0.26,0.5,Pieza,0.24,48.0
PIJA K-LATH PHILLIPS PUNTA DE BROCA GALVANIZADA 8X1,09-021-8X1,,EL TORNILLO,0.36,0.5,Pieza,0.14,28.000000000000004
PIJA K-LATH PHILLIPS PUNTA DE BROCA GALVANIZADA 8x1-1/2,09-021-8X1-1/2,,EL TORNILLO,0.26,0.5,Pieza,0.24,48.0
PIJA K-LATH PHILLIPS PUNTA DE BROCA GALVANIZADA 8x1/2,09-021-8x1/2,,EL TORNILLO,0.0,0.5,Pieza,0.5,100.0
PIJA K-LATH PHILLIPS PUNTA DE BROCA GALVANIZADA 8x2,09-021-8X2,,EL TORNILLO,0.39,1.0,Pieza,0.61,61.0
PIJA K-LATH PHILLIPS PUNTA DE BROCA GALVANIZADA 8x3/4,09-021-8X3/4,,EL TORNILLO,0.16,0.5,Pieza,0.3399999999999999,68.0
PIJA MULTIUSOS PARA MADERA COMBINADA CON NIBS NEGRA 8x1,09-003-8X1,,EL TORNILLO,0.13,0.5,Pieza,0.37,74.0
